fm,to,fm_i,to_i,graph_no
2_0_0,2_0_1,0,1,2_0
3_0_0,3_0_1,0,1,3_0
3_0_0,3_0_2,0,2,3_0
3_1_0,3_1_1,0,1,3_1
3_1_0,3_1_2,0,2,3_1
3_1_1,3_1_2,1,2,3_1
4_0_0,4_0_1,0,1,4_0
4_0_0,4_0_2,0,2,4_0
4_0_0,4_0_3,0,3,4_0
4_1_0,4_1_1,0,1,4_1
4_1_0,4_1_3,0,3,4_1
4_1_1,4_1_2,1,2,4_1
4_2_0,4_2_1,0,1,4_2
4_2_0,4_2_2,0,2,4_2
4_2_0,4_2_3,0,3,4_2
4_2_1,4_2_2,1,2,4_2
4_3_0,4_3_2,0,2,4_3
4_3_0,4_3_3,0,3,4_3
4_3_1,4_3_2,1,2,4_3
4_3_1,4_3_3,1,3,4_3
4_4_0,4_4_1,0,1,4_4
4_4_0,4_4_2,0,2,4_4
4_4_0,4_4_3,0,3,4_4
4_4_1,4_4_2,1,2,4_4
4_4_1,4_4_3,1,3,4_4
4_5_0,4_5_1,0,1,4_5
4_5_0,4_5_2,0,2,4_5
4_5_0,4_5_3,0,3,4_5
4_5_1,4_5_2,1,2,4_5
4_5_1,4_5_3,1,3,4_5
4_5_2,4_5_3,2,3,4_5
5_0_0,5_0_1,0,1,5_0
5_0_0,5_0_2,0,2,5_0
5_0_0,5_0_3,0,3,5_0
5_0_0,5_0_4,0,4,5_0
5_1_0,5_1_1,0,1,5_1
5_1_0,5_1_3,0,3,5_1
5_1_0,5_1_4,0,4,5_1
5_1_1,5_1_2,1,2,5_1
5_2_0,5_2_1,0,1,5_2
5_2_0,5_2_2,0,2,5_2
5_2_0,5_2_3,0,3,5_2
5_2_0,5_2_4,0,4,5_2
5_2_1,5_2_2,1,2,5_2
5_3_0,5_3_2,0,2,5_3
5_3_0,5_3_4,0,4,5_3
5_3_1,5_3_2,1,2,5_3
5_3_1,5_3_3,1,3,5_3
5_4_0,5_4_1,0,1,5_4
5_4_0,5_4_2,0,2,5_4
5_4_0,5_4_4,0,4,5_4
5_4_1,5_4_2,1,2,5_4
5_4_1,5_4_3,1,3,5_4
5_5_0,5_5_2,0,2,5_5
5_5_0,5_5_3,0,3,5_5
5_5_0,5_5_4,0,4,5_5
5_5_1,5_5_2,1,2,5_5
5_5_1,5_5_3,1,3,5_5
5_6_0,5_6_1,0,1,5_6
5_6_0,5_6_2,0,2,5_6
5_6_0,5_6_3,0,3,5_6
5_6_0,5_6_4,0,4,5_6
5_6_1,5_6_2,1,2,5_6
5_6_1,5_6_3,1,3,5_6
5_7_0,5_7_2,0,2,5_7
5_7_0,5_7_3,0,3,5_7
5_7_0,5_7_4,0,4,5_7
5_7_1,5_7_2,1,2,5_7
5_7_1,5_7_3,1,3,5_7
5_7_1,5_7_4,1,4,5_7
5_8_0,5_8_1,0,1,5_8
5_8_0,5_8_2,0,2,5_8
5_8_0,5_8_3,0,3,5_8
5_8_0,5_8_4,0,4,5_8
5_8_1,5_8_2,1,2,5_8
5_8_1,5_8_3,1,3,5_8
5_8_1,5_8_4,1,4,5_8
5_9_0,5_9_1,0,1,5_9
5_9_0,5_9_4,0,4,5_9
5_9_1,5_9_2,1,2,5_9
5_9_1,5_9_3,1,3,5_9
5_9_2,5_9_3,2,3,5_9
5_10_0,5_10_1,0,1,5_10
5_10_0,5_10_2,0,2,5_10
