<PAD>
<UNK>
<SOS>
<EOS>
_
a
a~
b
d
e
e^
e~
f
g
h
i
j
k
l
m
n
n~
o
o^
o~
p
r
s
s^
t
u
v
w
x
x^
x~
y
z
z^
ng
gn
