ckan      ckanext-dc_log_view  ckanext-dc_serve  ckanext-dc_view  ckanext-dcor_depot  ckanext-dcor_schemas  ckanext-dcor_theme  dcor_control  dcor_shared
2.11.3    1.0.0                1.0.7             1.0.2            1.0.3               1.1.0                 1.1.4               1.17.3        1.0.4
2.11.3    1.0.0                1.0.7             1.0.1            1.0.3               1.0.2                 1.1.3               1.17.2        1.0.4
2.11.3    1.0.0                1.0.7             1.0.1            1.0.3               1.0.0                 1.1.2               1.17.1        1.0.4
2.11.3    1.0.0                1.0.5             1.0.1            1.0.1               0.24.5                1.0.0               1.17.0        1.0.4
2.11.3    1.0.0                1.0.1             1.0.1            1.0.0               0.24.2                1.0.0               1.16.1        1.0.2
2.11.3    0.6.0                0.17.3            0.12.0           0.19.0              0.24.0                0.12.1              1.15.0        0.15.0
2.11.3    0.6.0                0.17.3            0.12.0           0.18.0              0.23.0                0.12.1              0.14.0        0.13.1
2.11.3    0.6.0                0.17.2            0.12.0           0.17.0              0.22.0                0.12.0              0.13.0        0.13.0
2.11.3    0.5.8                0.17.1            0.11.1           0.16.1              0.21.5                0.11.2              0.12.10       0.12.3
2.10.4    0.5.6                0.16.2            0.10.2           0.15.2              0.20.2                0.8.2               0.11.6        0.11.2
2.10.4    0.4.0                0.15.4            0.9.1            0.14.1              0.19.1                0.7.8               0.10.10       0.10.3
2.10.4    0.4.0                0.15.4            0.9.1            0.14.0              0.19.0                0.7.8               0.10.6        0.10.3
2.10.3    0.3.3                0.14.1            0.8.2            0.13.8              0.18.11               0.7.7               0.9.5         0.5.6
2.10.3    0.3.2                0.14.0            0.8.1            0.13.7              0.18.10               0.7.6               0.9.3         0.5.5
2.10.1    0.3.2                0.14.0            0.8.1            0.13.7              0.18.9                0.7.6               0.9.3         0.5.5
2.10.1    0.3.2                0.13.11           0.8.0            0.13.6              0.18.9                0.7.6               0.9.3         0.5.4
2.10.1    0.3.1                0.13.2            0.7.1            0.13.4              0.18.7                0.7.5               0.9.3         0.5.2
2.10.1    0.3.1                0.13.0            0.7.1            0.13.3              0.18.6                0.7.5               0.9.3         0.5.2
2.10.1    0.3.1                0.12.2            0.7.1            0.13.0              0.18.6                0.7.4               0.9.3         0.4.4
2.10.1    0.3.1                0.12.2            0.7.1            0.12.1              0.18.4                0.7.4               0.9.3         0.4.3
2.10.1    0.3.1                0.12.2            0.7.1            0.12.1              0.18.2                0.7.4               0.9.3         0.4.1
2.10.1    0.3.0                0.12.0            0.7.0            0.12.0              0.18.0                0.7.0               0.9.3         0.4.1
2.9.0     0.2.2                0.4.1             0.5.1            0.7.1               0.9.1                 0.3.2               0.9.3         0.2.2
2.9.0     0.2.2                0.4.1             0.5.2            0.7.2               0.9.1                 0.3.2               0.9.3         0.2.3
2.9.0     0.2.3                0.4.2             0.5.4            0.7.3               0.9.3                 0.3.3               0.9.3         0.2.4
2.9.0     0.2.3                0.4.3             0.5.5            0.7.4               0.9.4                 0.3.3               0.9.3         0.2.5
2.9.0     0.2.3                0.4.5             0.5.7            0.7.11              0.10.0                0.3.5               0.9.3         0.2.6
2.9.0     0.2.3                0.4.5             0.5.7            0.7.11              0.11.0                0.3.6               0.9.3         0.2.6
2.9.0     0.2.5                0.4.6             0.5.8            0.8.12              0.12.0                0.3.9               0.9.3         0.2.7
2.9.2     0.2.5                0.4.6             0.5.8            0.8.14              0.12.4                0.3.9               0.9.3         0.2.8
2.9.2     0.2.6                0.4.7             0.5.9            0.8.18              0.13.0                0.4.1               0.9.3         0.2.8
2.9.2     0.2.6                0.4.7             0.5.9            0.8.19              0.14.0                0.4.2               0.9.3         0.2.8
2.9.2     0.2.6                0.4.7             0.5.10           0.9.2               0.14.1                0.4.2               0.9.3         0.2.8
2.9.4     0.2.7                0.6.1             0.6.4            0.9.9               0.15.9                0.4.3               0.9.3         0.2.11
2.9.4     0.2.8                0.6.4             0.6.7            0.9.12              0.15.12               0.4.6               0.9.3         0.2.11
2.9.4     0.2.8                0.9.1             0.6.9            0.10.2              0.17.1                0.6.0               0.9.3         0.2.11
2.9.4     0.2.9                0.9.2             0.6.10           0.10.3              0.17.2                0.6.1               0.9.3         0.3.1
