,latitude,longitude,Chla,Turb,SS,COD,TP,NH3-N,BGA
1,30.199575,120.199905,0.982,14.434,40.508,98.155,0.263,0.001,0.233
2,30.199575,120.199904,1.059,14.434,66.087,96.637,0.258,0.071,0.233
3,30.199575,120.199904,1.007,14.206,52.361,99.024,0.293,0.089,0.202
4,30.199583,120.199889,0.98,14.824,64.239,96.649,0.226,0.09,0.258
5,30.199585,120.199885,0.982,14.505,47.033,99.248,0.26,0.037,0.233
6,30.199524,120.200009,1.163,15.32,134.173,99.985,0.305,0.228,0.191
7,30.199458,120.200146,1.204,16.341,134.356,99.838,0.328,0.161,0.169
8,30.199392,120.200281,1.14,14.504,100.516,97.459,0.235,0.08,0.131
9,30.199326,120.200416,1.883,19.748,136.471,96.889,0.976,0.167,0.588
10,30.199259,120.200552,0.994,14.213,62.64,98.283,0.293,0.064,0.279
11,30.199192,120.200688,0.905,13.618,33.622,99.607,0.203,0.154,0.175
12,30.199143,120.20079,0.991,14.066,36.224,96.195,0.195,0.167,0.194
13,30.199143,120.200789,0.87,13.08,33.536,97.463,0.22,0.035,0.153
14,30.199144,120.20079,0.926,13.974,29.833,96.283,0.223,0.09,0.224
15,30.199143,120.20079,0.905,13.432,35.762,99.766,0.213,0.229,0.232
16,30.199139,120.200799,0.953,13.629,59.28,98.638,0.206,0.228,0.205
17,30.19909,120.200927,0.887,13.94,36.422,97.417,0.217,0.179,0.219
18,30.199036,120.201072,0.953,13.778,48.412,98.842,0.197,0.129,0.221
19,30.198982,120.201216,1.014,13.584,46.601,98.441,0.234,0.23,0.197
20,30.198929,120.201359,0.93,13.649,38.862,97.298,0.212,0.134,0.225
21,30.198876,120.201503,0.971,14.497,35.791,99.229,0.222,0.217,0.19
22,30.198822,120.201646,0.981,14.135,34.517,96.552,0.199,0.128,0.231
23,30.198769,120.20179,0.935,13.81,28.487,98.7,0.22,0.049,0.233
24,30.198715,120.201933,0.931,13.618,26.823,98.643,0.239,0.226,0.201
25,30.198661,120.202076,0.896,13.876,46.601,95.875,0.219,0.169,0.217
26,30.198607,120.202219,0.935,13.491,28.487,95.144,0.202,0.024,0.18
27,30.198554,120.202363,0.969,13.91,42.144,97.472,0.22,0.157,0.215
28,30.1985,120.202506,0.971,13.778,42.978,96.068,0.216,0.049,0.213
29,30.198446,120.20265,0.875,14.218,39.168,96.542,0.223,0.14,0.204
30,30.19842,120.202718,0.948,13.608,35.701,95.998,0.214,0.163,0.258
31,30.198421,120.202717,0.989,13.583,42.431,95.135,0.239,0.235,0.194
32,30.19842,120.202717,0.952,14.045,21.109,97.063,0.227,0.221,0.186
33,30.19842,120.202716,0.981,14.4,35.974,97.213,0.199,0.086,0.197
34,30.198384,120.202803,0.966,13.911,32.473,96.077,0.23,0.23,0.225
35,30.198326,120.202947,0.922,13.713,29.14,99.66,0.217,0.098,0.229
36,30.19827,120.203089,0.981,13.745,42.978,95.4,0.225,0.088,0.213
37,30.198214,120.203231,0.902,14.006,44.789,95.806,0.22,0.075,0.225
38,30.198158,120.203373,0.966,14.15,37.544,99.399,0.195,0.237,0.187
39,30.198102,120.203515,0.981,14.046,43.567,99.344,0.206,0.006,0.195
40,30.198047,120.203658,0.935,13.535,52.098,98.401,0.225,0.17,0.204
41,30.197991,120.2038,0.961,14.047,31.977,95.262,0.227,0.074,0.201
42,30.197936,120.203942,0.941,14.079,30.115,96.487,0.234,0.232,0.237
43,30.19788,120.204084,0.964,13.943,36.171,98.212,0.227,0.175,0.24
44,30.197824,120.204226,0.944,14.445,49.094,99.946,0.192,0.037,0.233
45,30.197768,120.204369,0.978,13.713,52.812,96.768,0.207,0.169,0.233
46,30.197713,120.204511,0.903,13.778,39.168,97.888,0.204,0.049,0.221
47,30.197671,120.204617,0.99,14.343,58.182,98.656,0.22,0.006,0.217
48,30.197671,120.204616,0.975,14.381,41.286,97.614,0.217,0.101,0.215
49,30.197671,120.204616,0.942,13.547,41.439,99.054,0.215,0.22,0.245
50,30.197671,120.204616,0.973,13.777,36.864,98.131,0.215,0.088,0.233
51,30.197671,120.204615,0.988,13.523,28.152,96.859,0.212,0.098,0.257
52,30.197671,120.204616,0.973,13.581,43.148,99.7,0.229,0.017,0.205
53,30.197671,120.204617,0.938,14.011,49.476,98.996,0.232,0.196,0.204
54,30.197671,120.204617,0.995,12.858,35.224,99.182,0.232,0.094,0.249
55,30.197665,120.204611,1.222,16.103,131.719,96.474,0.373,0.114,0.167
56,30.197583,120.204508,0.939,14.045,42.978,97.301,0.193,0.032,0.201
57,30.197425,120.204307,0.921,14.046,40.74,99.884,0.236,0.227,0.236
58,30.197213,120.204035,1.168,14.33,124.503,99.362,0.256,0.102,0.189
59,30.196983,120.203736,1.855,18.036,152.796,96.295,0.988,0.0,0.542
60,30.196761,120.203446,1.294,14.344,95.19,95.39,0.502,0.187,0.412
61,30.196538,120.203154,1.502,19.747,190.312,97.691,0.85,0.245,0.34
