DESCRIPTION,Tags,web_ids
Total Real Power P,S-TH-BBO-Modbus.CtrlRoom.PQM.TotalActivePower,F1DPPy8YwSxNYU-f1KfNW4G4PwInMAAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5DVFJMUk9PTS5QUU0uVE9UQUxBQ1RJVkVQT1dFUg
Irriadiation1,S-TH-BBO-Modbus.Sub1.WT.Irradiation1,F1DPPy8YwSxNYU-f1KfNW4G4PwZX4AAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5TVUIxLldULklSUkFESUFUSU9OMQ
Irriadiation2,S-TH-BBO-Modbus.Sub1.WT.Irradiation2,F1DPPy8YwSxNYU-f1KfNW4G4PwZ34AAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5TVUIxLldULklSUkFESUFUSU9OMg
PV Temperature1,S-TH-BBO-Modbus.Sub1.WT.PVTemp1,F1DPPy8YwSxNYU-f1KfNW4G4PwaH4AAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5TVUIxLldULlBWVEVNUDE
PV Temperature2,S-TH-BBO-Modbus.Sub1.WT.PVTemp2,F1DPPy8YwSxNYU-f1KfNW4G4Pwan4AAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5TVUIxLldULlBWVEVNUDI
Ambient Temperature,S-TH-BBO-Modbus.Sub1.WT.AmbTemp,F1DPPy8YwSxNYU-f1KfNW4G4Pw4XkAAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5TVUIxLldULkFNQlRFTVA
Ambient Humidity,S-TH-BBO-Modbus.Sub1.WT.AmbHumidity,F1DPPy8YwSxNYU-f1KfNW4G4PwDH0AAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5TVUIxLldULkFNQkhVTUlESVRZ
PQM Energy,S-TH-BBO-Modbus.CtrlRoom.PQM.Energy,F1DPPy8YwSxNYU-f1KfNW4G4PwGnMAAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5DVFJMUk9PTS5QUU0uRU5FUkdZ
RMUIn DCSwitchOpen,S-TH-BBO-Modbus.CtrlRoom.RMUIn.DCSwitchOpen,F1DPPy8YwSxNYU-f1KfNW4G4Pwk3QAAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5DVFJMUk9PTS5STVVJTi5EQ1NXSVRDSE9QRU4
RMUOut1 CBSwithOpen,S-TH-BBO-Modbus.CtrlRoom.RMUOut1.CBSwithOpen,F1DPPy8YwSxNYU-f1KfNW4G4Pwp3QAAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5DVFJMUk9PTS5STVVPVVQxLkNCU1dJVEhPUEVO
RMUOut2 CBSwithOpen,S-TH-BBO-Modbus.CtrlRoom.RMUOut2.CBSwithOpen,F1DPPy8YwSxNYU-f1KfNW4G4PwunQAAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5DVFJMUk9PTS5STVVPVVQyLkNCU1dJVEhPUEVO
SWG Open,S-TH-BBO-Modbus.CtrlRoom.SWG.Open,F1DPPy8YwSxNYU-f1KfNW4G4Pw7HQAAAVEgwMFAwMVBWTVBJUzAxXFMtVEgtQkJPLU1PREJVUy5DVFJMUk9PTS5TV0cuT1BFTg
