line	v8.8	rameau	sep	index	eval	Comment [NS: not supported; NA: not applicable]
1
2	 #<V8.2># --- Fin du texte libre --- ; Ne pas modifier/retirer cette ligne
3	                                                                      = Param�tres et Options					NA (given separately)
4	                                                                      = Pluies	files.rainfall	=	0	str(x)	
5	                                                                      = �vapo-Transpirations Potentielles (ETP)	files.pet	=	0	str(x)	
6	                                                                      = D�bits de Rivi�re	files.riverobs	=	0	str(x)	
7	                                                                      = Niveaux de Nappe	files.groundwaterobs	=	0	str(x)	
8	                                                                      = Temp�ratures de l'air	files.temperature	=	0	str(x)	
9	                                                                      = Pr�cipitations Neigeuses	files.snow	=	0	str(x)	
10	                                                                      = Pluies pour Pr�vision					NA
11	                                                                      = ETP pour Pr�vision					NA
12	                                                                      = Temp�ratures pour Pr�vision					NA
13	                                                                      = Pr�cipitations neigeuses pour Pr�vision					NA
14	                                                                      = Injections/Pompages	files.riverpumping,files.groundwaterpumping	=	0,0	str(x)#str(x)	could be files.riverpumping or files.groundwaterpumping
15	                                                                      = Mailles m�t�o et Pond�rations	""	=	0	NotImplementedError('meteo weights provided as file not supported yet, a preprocessor is needed') if x else None	NS directly (need preprocessing the file to populate meteo.columns and meteo.weights)
