date	mean number of mutations	var number of mutations	size
2020-10-29	34.515151515151516	0.8689976689976701	66
2020-11-05	35.029411764705884	0.9620915032679709	136
2020-11-12	35.63250883392226	1.9921309174748796	283
2020-11-19	36.07575757575758	2.5170742962621144	198
2020-11-26	36.37826086956522	3.6685209796848266	230
2020-12-03	36.20704845814978	4.297649214455573	227
2020-12-10	36.555865921787706	3.715357651440464	358
2020-12-17	37.040625	4.709943181818182	320
2020-12-24	37.450171821305844	6.5794051427894376	291
2020-12-31	37.649068322981364	6.614781060737982	322
2021-01-07	37.97329376854599	5.907022749752713	337
2021-01-14	38.126182965299684	7.1675717765443405	317
2021-01-21	38.33774834437086	6.476909198917517	302
2021-01-28	38.614285714285714	6.632053251408085	280
2021-02-04	38.891373801916934	8.481752273285828	313
2021-02-11	38.62369337979094	7.235520576984016	287
2021-02-18	39.12367491166078	7.97401197904921	283
2021-02-25	39.30167597765363	6.558596623006733	358
2021-03-04	39.56273764258555	6.239369575944036	263
2021-03-11	39.64939024390244	8.613699932870894	328
2021-03-18	39.625	7.909090909090907	320
2021-03-25	40.233676975945016	8.607275743571508	291
2021-04-01	40.11	8.345719063545154	300
2021-04-08	40.11552346570397	6.776461047454612	277
2021-04-15	40.674121405750796	7.5344884082903265	313
2021-04-22	40.55882352941177	8.050626808100292	306
2021-04-29	41.38768115942029	9.140065876152836	276
2021-05-06	41.098684210526315	7.442374500607957	304
2021-05-13	41.06024096385542	8.75038865137971	249
2021-05-20	41.205479452054796	9.091653721225812	292
2021-05-27	40.85546875	9.69275428921569	256
2021-06-03	41.12112676056338	8.886416805920257	355
2021-06-10	41.49	6.96472361809045	200
2021-06-17	41.723404255319146	7.741267493457731	188
2021-06-24	42.27860696517413	6.611990049751241	201
2021-07-01	42.541935483870965	8.717385839966484	155
2021-07-08	42.71875	7.475198412698421	64
2021-07-15	43.333333333333336	8.333333333333332	39
2021-07-22	42.32142857142857	7.822077922077916	56
2021-07-29	41.857142857142854	15.14285714285714	7
