observation,phase,pr_auc,roc_auc,f1,vuln_score,state,metamorphosis_count
5000,Normal,0.8432,0.9783,0.8696,0.0000,Normal,0
10000,Drift,0.9182,0.9998,0.8421,0.2710,Normal,0
15000,Drift,1.0000,1.0000,1.0000,0.3565,Normal,0
20000,Drift,0.7035,0.8801,0.8235,0.3276,Normal,0
25000,Drift,0.8618,0.9940,0.8571,0.4439,Normal,0
30000,Drift,1.0000,1.0000,0.9630,0.4651,Normal,0
35000,Drift,0.6760,0.9068,0.6667,0.4248,Normal,0
40000,Drift,1.0000,1.0000,1.0000,0.5180,Normal,0
45000,Drift,0.8355,0.9906,0.8889,0.5180,Normal,0
50000,Drift,0.8769,0.9997,0.8000,0.5248,Normal,0
55000,Drift,0.8333,0.9996,0.7500,0.4887,Normal,0
56962,Drift,1.0000,1.0000,0.8571,0.3304,Normal,0
