#ZVView-data-copy:  26-Sep-2025 08:15:08
#=======================================
#
#name:   ENDF/B-VIII.1: HE-3(D,P`)HE-4-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  337
#data...
#            X            Y
#          MeV        barns
           0.0          0.0
          0.01   6.8552e-10
     0.0100597   7.4092e-10
     0.0101161   7.9673e-10
     0.0101942   8.8021e-10
     0.0102664   9.6413e-10
     0.0103316   1.04598e-9
     0.0103919   1.12691e-9
      0.010466   1.23404e-9
     0.0105313   1.33571e-9
      0.010614   1.47502e-9
     0.0106838   1.60222e-9
      0.010762   1.75621e-9
     0.0108432    1.9298e-9
     0.0108989   2.05745e-9
     0.0109662   2.22129e-9
       0.01103   2.38701e-9
     0.0111165   2.62937e-9
     0.0111948   2.86693e-9
     0.0112672   3.10284e-9
     0.0113535   3.40634e-9
     0.0114323   3.70606e-9
     0.0115018   3.98884e-9
     0.0115916   4.38204e-9
     0.0116419   4.61675e-9
     0.0117304   5.05666e-9
     0.0118224    5.5521e-9
     0.0118855   5.91611e-9
     0.0119617   6.38302e-9
     0.0120602    7.0337e-9
     0.0121435   7.62895e-9
     0.0122205   8.21715e-9
     0.0123154    8.9953e-9
     0.0123989   9.73336e-9
     0.0125048   1.07439e-8
     0.0125942   1.16658e-8
     0.0126944    1.2781e-8
     0.0127987   1.40371e-8
     0.0128702   1.49601e-8
     0.0129566    1.6144e-8
     0.0130604   1.76725e-8
     0.0131707   1.94339e-8
     0.0132716   2.11754e-8
     0.0133605     2.282e-8
     0.0134756   2.51092e-8
       0.01354   2.64769e-8
     0.0136536   2.90423e-8
     0.0137717   3.19345e-8
     0.0138528   3.40611e-8
     0.0139508   3.67909e-8
     0.0140585   4.00101e-8
     0.0141727   4.36801e-8
     0.0142805   4.74091e-8
     0.0143823    5.1178e-8
     0.0144785   5.49681e-8
     0.0146133   6.06859e-8
     0.0147354   6.62973e-8
     0.0148483    7.1876e-8
     0.0149833   7.90606e-8
     0.0151067   8.61633e-8
     0.0152156   9.28703e-8
     0.0153565   1.02204e-7
     0.0154355   1.07779e-7
     0.0155747   1.18235e-7
     0.0157196    1.3002e-7
     0.0158192   1.38683e-7
     0.0159395     1.498e-7
      0.016059   1.61584e-7
     0.0161739   1.73654e-7
     0.0163352   1.91869e-7
     0.0164814   2.09752e-7
     0.0166166   2.27536e-7
     0.0167783   2.50446e-7
     0.0169264     2.731e-7
      0.017057   2.94496e-7
     0.0172261   3.24277e-7
      0.017321   3.42068e-7
     0.0174883   3.75438e-7
     0.0176625   4.13051e-7
     0.0177823   4.40702e-7
     0.0179271   4.76186e-7
     0.0180594   5.10653e-7
     0.0182311   5.58545e-7
