#ZVView-data-copy:  25-Sep-2025 13:53:35
#=======================================
#
#name:   ENDF/B-VIII.1: H-3(D,N`)HE-4-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  952
#data...
#            X            Y
#          MeV        barns
        0.0001            0
        0.0002   7.4327e-39
        0.0003   4.0555e-31
   0.000305443   8.2292e-31
   0.000306733   9.7046e-31
    0.00030737   1.0524e-30
   0.000308003   1.1404e-30
   0.000308632   1.2349e-30
   0.000309258   1.3362e-30
    0.00030988   1.4449e-30
   0.000310499   1.5614e-30
   0.000311114   1.6861e-30
   0.000311725   1.8195e-30
   0.000312333   1.9621e-30
   0.000312938   2.1146e-30
   0.000313538   2.2774e-30
   0.000314135   2.4511e-30
   0.000314729   2.6363e-30
   0.000315319   2.8338e-30
   0.000315906   3.0441e-30
   0.000316489   3.2679e-30
   0.000317068   3.5061e-30
   0.000317644   3.7593e-30
   0.000318217   4.0283e-30
   0.000318786    4.314e-30
   0.000319352   4.6172e-30
   0.000319914   4.9387e-30
   0.000320473   5.2796e-30
   0.000321028   5.6407e-30
    0.00032158   6.0231e-30
   0.000322129   6.4277e-30
   0.000322674   6.8556e-30
   0.000323486   7.5431e-30
    0.00032429   8.2903e-30
   0.000325087   9.0993e-30
   0.000325877   9.9764e-30
   0.000326658   1.0924e-29
   0.000327433   1.1949e-29
     0.0003282   1.3053e-29
   0.000328961   1.4244e-29
   0.000329714   1.5526e-29
    0.00033046   1.6906e-29
   0.000331199   1.8386e-29
   0.000331931   1.9976e-29
   0.000332656   2.1679e-29
   0.000333374   2.3505e-29
   0.000334085   2.5455e-29
    0.00033479   2.7542e-29
   0.000335487   2.9767e-29
   0.000336178   3.2144e-29
   0.000336862   3.4673e-29
    0.00033754   3.7368e-29
    0.00033821   4.0231e-29
   0.000338875   4.3276e-29
   0.000339533   4.6505e-29
   0.000340185   4.9934e-29
   0.000340829   5.3562e-29
   0.000341468   5.7408e-29
    0.00034231    6.288e-29
   0.000343144   6.8792e-29
   0.000343967   7.5146e-29
   0.000344779   8.1965e-29
   0.000345581   8.9273e-29
   0.000346371   9.7092e-29
   0.000347151   1.0545e-28
   0.000347921   1.1437e-28
    0.00034868   1.2387e-28
   0.000349429   1.3398e-28
   0.000350167   1.4473e-28
   0.000350896   1.5614e-28
   0.000351615   1.6824e-28
   0.000352324   1.8105e-28
   0.000353023   1.9459e-28
   0.000353713    2.089e-28
   0.000354393     2.24e-28
   0.000355064   2.3991e-28
   0.000355726   2.5666e-28
   0.000356379   2.7427e-28
   0.000357022   2.9277e-28
   0.000357972   3.2228e-28
     0.0003589   3.5383e-28
   0.000359811   3.8767e-28
     0.0003607   4.2369e-28
