Deformação 1 comprimento do gabarito;"50,00000";mm
Deformação à tração (Deformação 1) comprimento do gabarito;"50,00000";mm
CargaemBreak (Standard);"433,15952";N
Deformação 1emBreak (Standard);"0,45206";mm/mm
Deformação à tração (Deformação 1)emBreak (Standard);"0,45859";mm/mm
DeslocamentoemBreak (Standard);"27,58437";mm
Deslocamento à traçãoemBreak (Standard);"22,92945";mm
Observação;""

Tempo;Travessa;Carga;Extensometro
(s);(mm);(N);(mm)
"0,00000";"0,00600";"3,46858";"0,32635"
"0,01000";"0,00650";"3,45768";"0,32660"
"0,02000";"0,00850";"3,50164";"0,32681"
"0,03000";"0,01275";"3,73627";"0,32689"
"0,04000";"0,01950";"4,40845";"0,32668"
"0,05000";"0,02844";"5,75427";"0,32634"
"0,06000";"0,03887";"7,93212";"0,32610"
"0,07000";"0,05019";"10,97116";"0,32603"
"0,08000";"0,06169";"14,75709";"0,32594"
"0,09000";"0,07294";"19,07143";"0,32566"
"0,10000";"0,08369";"23,67317";"0,32588"
"0,11000";"0,09387";"28,29465";"0,32626"
"0,12000";"0,10350";"32,74790";"0,32656"
"0,13000";"0,11262";"36,97262";"0,32660"
"0,14000";"0,12137";"40,90481";"0,32635"
"0,15000";"0,12994";"44,52442";"0,32681"
"0,16000";"0,13831";"47,87867";"0,32712"
"0,17000";"0,14675";"51,03711";"0,32705"
"0,18000";"0,15519";"54,04363";"0,32689"
"0,19000";"0,16362";"56,97819";"0,32706"
"0,20000";"0,17219";"59,91394";"0,32726"
"0,21000";"0,18069";"62,81277";"0,32759"
"0,22000";"0,18925";"65,68376";"0,32774"
"0,23000";"0,19775";"68,54188";"0,32783"
"0,24000";"0,20619";"71,38317";"0,32776"
"0,25000";"0,21469";"74,19518";"0,32736"
"0,26000";"0,22319";"76,99057";"0,32736"
"0,27000";"0,23162";"79,76337";"0,32733"
"0,28000";"0,24012";"82,51028";"0,32799"
"0,29000";"0,24862";"85,22948";"0,32998"
"0,30000";"0,25700";"87,91978";"0,33262"
"0,31000";"0,26544";"90,58871";"0,33579"
"0,32000";"0,27387";"93,23138";"0,33927"
"0,33000";"0,28237";"95,84969";"0,34293"
"0,34000";"0,29081";"98,45402";"0,34661"
"0,35000";"0,29925";"101,02158";"0,35000"
"0,36000";"0,30762";"103,57554";"0,35397"
"0,37000";"0,31594";"106,12434";"0,35789"
"0,38000";"0,32431";"108,62672";"0,36132"
"0,39000";"0,33262";"111,08529";"0,36500"
"0,40000";"0,34094";"113,52864";"0,36843"
"0,41000";"0,34931";"115,96076";"0,37148"
"0,42000";"0,35762";"118,38660";"0,37466"
"0,43000";"0,36600";"120,79487";"0,37744"
"0,44000";"0,37431";"123,17119";"0,37935"
"0,45000";"0,38262";"125,53350";"0,38119"
"0,46000";"0,39094";"127,89404";"0,38340"
"0,47000";"0,39925";"130,24420";"0,38647"
"0,48000";"0,40756";"132,57126";"0,38920"
"0,49000";"0,41587";"134,88945";"0,39193"
"0,50000";"0,42425";"137,18828";"0,39460"
"0,51000";"0,43256";"139,46550";"0,39767"
"0,52000";"0,44081";"141,72043";"0,40090"
"0,53000";"0,44912";"143,98082";"0,40426"
"0,54000";"0,45737";"146,23030";"0,40760"
"0,55000";"0,46575";"148,46841";"0,41114"
"0,56000";"0,47406";"150,68912";"0,41499"
"0,57000";"0,48244";"152,88403";"0,41875"
"0,58000";"0,49081";"155,07916";"0,42262"
"0,59000";"0,49925";"157,28864";"0,42702"
"0,60000";"0,50762";"159,50035";"0,43155"
"0,61000";"0,51606";"161,70444";"0,43574"
"0,62000";"0,52444";"163,90137";"0,44014"
"0,63000";"0,53281";"166,08224";"0,44455"
"0,64000";"0,54125";"168,24138";"0,44847"
"0,65000";"0,54962";"170,37816";"0,45182"
"0,66000";"0,55794";"172,51498";"0,45487"
"0,67000";"0,56625";"174,63277";"0,45771"
"0,68000";"0,57456";"176,73296";"0,46106"
"0,69000";"0,58281";"178,82068";"0,46392"
"0,70000";"0,59112";"180,87598";"0,46630"
"0,71000";"0,59944";"182,89523";"0,46917"
"0,72000";"0,60775";"184,90868";"0,47204"
"0,73000";"0,61606";"186,93721";"0,47514"
"0,74000";"0,62437";"188,95889";"0,47914"
"0,75000";"0,63262";"190,97026";"0,48311"
"0,76000";"0,64094";"192,98006";"0,48744"
"0,77000";"0,64925";"194,96490";"0,49176"
"0,78000";"0,65756";"196,92384";"0,49585"
"0,79000";"0,66587";"198,85959";"0,49994"
"0,80000";"0,67419";"200,80573";"0,50430"
"0,81000";"0,68256";"202,76443";"0,50916"
"0,82000";"0,69087";"204,69473";"0,51461"
"0,83000";"0,69919";"206,61659";"0,52060"
"0,84000";"0,70744";"208,52763";"0,52611"
"0,85000";"0,71575";"210,42699";"0,53178"
"0,86000";"0,72412";"212,32234";"0,53691"
"0,87000";"0,73250";"214,22476";"0,54154"
"0,88000";"0,74087";"216,11833";"0,54537"
"0,89000";"0,74925";"217,99469";"0,54883"
"0,90000";"0,75756";"219,86044";"0,55179"
"0,91000";"0,76594";"221,71416";"0,55466"
"0,92000";"0,77431";"223,57626";"0,55760"
"0,93000";"0,78275";"225,43567";"0,56142"
