year,month,value
1870,1,-1.0
1870,2,-1.2
1870,3,-0.83
1870,4,-0.81
1870,5,-1.27
1870,6,-1.08
1870,7,-1.04
1870,8,-0.88
1870,9,-0.53
1870,10,-0.92
1870,11,-0.79
1870,12,-0.79
1871,1,-0.25
1871,2,-0.58
1871,3,-0.43
1871,4,-0.5
1871,5,-0.7
1871,6,-0.53
1871,7,-0.6
1871,8,-0.33
1871,9,-0.24
1871,10,-0.33
1871,11,-0.31
1871,12,-0.58
1872,1,-0.72
1872,2,-0.62
1872,3,-0.5
1872,4,-0.77
1872,5,-0.62
1872,6,-0.52
1872,7,-0.32
1872,8,-0.85
1872,9,-1.02
1872,10,-0.94
1872,11,-0.79
1872,12,-0.88
1873,1,-0.78
1873,2,-1.01
1873,3,-1.31
1873,4,-0.67
1873,5,-0.53
1873,6,-0.48
1873,7,-0.58
1873,8,-0.39
1873,9,-0.34
1873,10,-0.78
1873,11,-0.77
1873,12,-0.7
1874,1,-0.93
1874,2,-1.06
1874,3,-1.4
1874,4,-0.94
1874,5,-0.86
1874,6,-0.72
1874,7,-1.0
1874,8,-1.05
1874,9,-1.13
1874,10,-1.25
1874,11,-1.33
1874,12,-1.14
1875,1,-0.71
1875,2,-0.37
1875,3,-0.59
1875,4,-0.87
1875,5,-1.09
1875,6,-0.76
1875,7,-0.85
1875,8,-0.81
1875,9,-0.91
1875,10,-0.83
1875,11,-0.64
1875,12,-0.75
1876,1,-0.95
1876,2,-1.2
1876,3,-1.13
1876,4,-1.18
1876,5,-1.08
1876,6,-0.43
1876,7,-0.34
1876,8,-0.16
1876,9,-0.02
1876,10,0.11
1876,11,0.15
1876,12,0.23
1877,1,0.35
1877,2,0.46
1877,3,0.52
1877,4,0.5
1877,5,0.76
1877,6,0.98
1877,7,1.42
1877,8,1.54
1877,9,1.75
1877,10,1.95
1877,11,2.08
1877,12,2.49
1878,1,2.41
1878,2,2.43
1878,3,1.31
1878,4,0.92
1878,5,0.82
1878,6,0.92
1878,7,0.25
1878,8,-0.11
1878,9,-0.32
1878,10,-0.53
1878,11,-0.7
1878,12,-0.75
1879,1,-0.55
1879,2,-0.18
1879,3,-0.24
1879,4,-0.37
1879,5,-0.83
1879,6,-0.67
1879,7,-0.77
1879,8,-0.69
1879,9,-0.83
1879,10,-0.93
1879,11,-1.14
1879,12,-1.02
1880,1,-1.0
1880,2,-0.73
1880,3,-0.62
1880,4,-0.57
1880,5,-0.71
1880,6,-0.61
1880,7,-0.53
1880,8,-0.24
1880,9,-0.03
1880,10,0.17
1880,11,0.24
1880,12,0.18
1881,1,0.29
1881,2,0.23
1881,3,0.32
1881,4,0.41
1881,5,0.16
1881,6,0.23
1881,7,-0.26
1881,8,-0.17
1881,9,-0.33
1881,10,-0.43
1881,11,-0.59
1881,12,-0.37
1882,1,-0.45
1882,2,-0.55
1882,3,-0.53
1882,4,0.1
1882,5,0.01
1882,6,-0.4
1882,7,-0.57
1882,8,-0.33
1882,9,-0.51
1882,10,-0.65
1882,11,-0.92
1882,12,-0.75
1883,1,-0.46
1883,2,-0.49
1883,3,-0.4
1883,4,-0.23
1883,5,-0.38
1883,6,-0.21
1883,7,-0.01
1883,8,-0.03
1883,9,-0.17
1883,10,-0.42
1883,11,-0.22
1883,12,-0.14
