Field,Value
DataURL,https://raw.githubusercontent.com/donaldsturgeon/mmdata/master/biogref_ddbc_data.csv
ResourceTemplate,http://authority.dila.edu.tw/person/?fromInner={person_id}
ShortName,DDBC
LongName,Buddhist Studies Person Authority Databases
MetaURL,https://raw.githubusercontent.com/donaldsturgeon/mmdata/master/biogref_ddbc_meta.csv
SchemaURL,http://ctext.org/static/biogref_schema.csv
License,CC BY-SA
ProjectLink,http://authority.dila.edu.tw/
