Field,Value
DataURL,https://aavdc.ihp.sinica.edu.tw/sncac_data.csv
ResourceTemplate,"https://newarchive.ihp.sinica.edu.tw/sncaccgi/sncacFtp?ACTION=TQ,sncacFtpqf,SN={person_id},2nd,search_simple"
ShortName,DNB
LongName,Database of Names and Biographies
MetaURL,https://aavdc.ihp.sinica.edu.tw/sncac_meta.csv
SchemaURL,https://aavdc.ihp.sinica.edu.tw/dnb_schema.csv
License,CC BY-NC-SA
ProjectLink,https://newarchive.ihp.sinica.edu.tw/sncaccgi/sncacFtp
