scenario,XGBoost,LightGBM,PKBoost,XGB_Degrade%,LGBM_Degrade%,PKB_Degrade%
1. Stable,11.906729958966851,11.687806315295683,11.87399803227172,0.0,0.0,0.0
2. Sudden Drift,170.78732160679488,170.54532749789058,170.7520767389372,1334.4,1359.2,1338.0
3. Gradual Drift,360.7755757611683,360.5611247073573,360.7423273803693,2930.0,2984.9,2938.1
4. Outliers (5%),432.8939855005158,432.67188058996027,432.8605250218317,3535.7,3601.9,3545.4
5. High Noise,502.9457558746669,502.69893107298105,502.9095203515174,4124.0,4201.1,4135.4
6. Temporal,550.8623312078184,550.6152218221478,550.8260871058313,4526.5,4611.0,4538.9
7. Reversal,694.7873745281721,695.0113826156743,694.8205608938949,5735.2,5846.5,5751.6
