observation,phase,pr_auc,roc_auc,f1,vuln_score,state,metamorphosis_count
5000,Normal,0.8425,0.9728,0.8696,0.0000,Normal,0
10000,Drift,0.9444,0.9998,0.8000,0.2710,Normal,0
15000,Drift,1.0000,1.0000,0.9474,0.2988,Normal,0
20000,Drift,0.7022,0.8696,0.8235,0.2179,Normal,0
25000,Drift,0.8599,0.9898,0.8571,0.4036,Normal,0
30000,Drift,1.0000,1.0000,0.9630,0.4395,Normal,0
35000,Drift,0.6759,0.9024,0.7059,0.3692,Normal,0
40000,Drift,1.0000,1.0000,1.0000,0.5268,Normal,0
45000,Drift,0.8455,0.9925,0.8889,0.5268,Normal,0
50000,Drift,0.8556,0.9995,0.8889,0.5672,Normal,0
55000,Drift,0.8750,0.9998,0.7500,0.5166,Normal,0
56962,Drift,1.0000,1.0000,1.0000,0.4219,Normal,0
